,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
181,medium1k,mpnet,mean,soft_cosine,random25,kmeans70,3.0,1290.0,0.623,1.9576573157594317
182,medium1k,mpnet,mean,soft_cosine,random25,gmm50,1.0,285.0,0.139,2.1023951795968143
183,medium1k,mpnet,mean,soft_cosine,random25,gmm50,2.0,83.0,0.04,2.1023951795968143
184,medium1k,mpnet,mean,soft_cosine,random25,gmm50,3.0,1570.0,0.765,2.1023951795968143
185,medium1k,mpnet,mean,soft_cosine,random25,gmm70,1.0,584.0,0.282,2.035884672967495
186,medium1k,mpnet,mean,soft_cosine,random25,gmm70,2.0,116.0,0.056,2.035884672967495
187,medium1k,mpnet,mean,soft_cosine,random25,gmm70,3.0,1175.0,0.567,2.035884672967495
188,medium1k,mpnet,mean,soft_cosine,knn50,kmeans50,1.0,19.0,0.009,1.8567520766842123
189,medium1k,mpnet,mean,soft_cosine,knn50,kmeans50,2.0,49.0,0.024,1.8567520766842123
190,medium1k,mpnet,mean,soft_cosine,knn50,kmeans50,3.0,1977.0,0.964,1.8567520766842123
191,medium1k,mpnet,mean,soft_cosine,knn50,kmeans70,1.0,411.0,0.198,1.7591755548155452
192,medium1k,mpnet,mean,soft_cosine,knn50,kmeans70,2.0,77.0,0.037,1.7591755548155452
193,medium1k,mpnet,mean,soft_cosine,knn50,kmeans70,3.0,1433.0,0.692,1.7591755548155452
194,medium1k,mpnet,mean,soft_cosine,knn50,gmm50,1.0,47.0,0.023,2.085009862929583
195,medium1k,mpnet,mean,soft_cosine,knn50,gmm50,2.0,49.0,0.024,2.085009862929583
196,medium1k,mpnet,mean,soft_cosine,knn50,gmm50,3.0,1950.0,0.951,2.085009862929583
197,medium1k,mpnet,mean,soft_cosine,knn50,gmm70,1.0,399.0,0.193,1.9922907332797626
198,medium1k,mpnet,mean,soft_cosine,knn50,gmm70,2.0,51.0,0.025,1.9922907332797626
199,medium1k,mpnet,mean,soft_cosine,knn50,gmm70,3.0,1526.0,0.737,1.9922907332797626
200,medium1k,mpnet,mean,soft_cosine,knn70,kmeans50,1.0,19.0,0.009,1.9118425994398491
201,medium1k,mpnet,mean,soft_cosine,knn70,kmeans50,2.0,49.0,0.024,1.9118425994398491
202,medium1k,mpnet,mean,soft_cosine,knn70,kmeans50,3.0,1977.0,0.964,1.9118425994398491
203,medium1k,mpnet,mean,soft_cosine,knn70,kmeans70,1.0,3.0,0.001,1.8090322472009004
204,medium1k,mpnet,mean,soft_cosine,knn70,kmeans70,2.0,69.0,0.033,1.8090322472009004
205,medium1k,mpnet,mean,soft_cosine,knn70,kmeans70,3.0,1995.0,0.963,1.8090322472009004
206,medium1k,mpnet,mean,soft_cosine,knn70,gmm50,1.0,47.0,0.023,2.0206317323255756
207,medium1k,mpnet,mean,soft_cosine,knn70,gmm50,2.0,49.0,0.024,2.0206317323255756
208,medium1k,mpnet,mean,soft_cosine,knn70,gmm50,3.0,1950.0,0.951,2.0206317323255756
209,medium1k,mpnet,mean,soft_cosine,knn70,gmm70,1.0,3.0,0.001,2.0132715803195986
210,medium1k,mpnet,mean,soft_cosine,knn70,gmm70,2.0,69.0,0.033,2.0132715803195986
211,medium1k,mpnet,mean,soft_cosine,knn70,gmm70,3.0,1995.0,0.963,2.0132715803195986
212,medium1k,mpnet,mean,soft_cosine,knn_mst50,kmeans50,1.0,19.0,0.009,1.8514597385263247
213,medium1k,mpnet,mean,soft_cosine,knn_mst50,kmeans50,2.0,49.0,0.024,1.8514597385263247
214,medium1k,mpnet,mean,soft_cosine,knn_mst50,kmeans50,3.0,1977.0,0.964,1.8514597385263247
215,medium1k,mpnet,mean,soft_cosine,knn_mst50,kmeans70,1.0,411.0,0.198,1.987352776887088
216,medium1k,mpnet,mean,soft_cosine,knn_mst50,kmeans70,2.0,72.0,0.035,1.987352776887088
217,medium1k,mpnet,mean,soft_cosine,knn_mst50,kmeans70,3.0,1433.0,0.692,1.987352776887088
218,medium1k,mpnet,mean,soft_cosine,knn_mst50,gmm50,1.0,47.0,0.023,1.8904497645567597
219,medium1k,mpnet,mean,soft_cosine,knn_mst50,gmm50,2.0,49.0,0.024,1.8904497645567597
220,medium1k,mpnet,mean,soft_cosine,knn_mst50,gmm50,3.0,1950.0,0.951,1.8904497645567597
221,medium1k,mpnet,mean,soft_cosine,knn_mst50,gmm70,1.0,399.0,0.193,2.1577037032842634
222,medium1k,mpnet,mean,soft_cosine,knn_mst50,gmm70,2.0,51.0,0.025,2.1577037032842634
223,medium1k,mpnet,mean,soft_cosine,knn_mst50,gmm70,3.0,1526.0,0.737,2.1577037032842634
224,medium1k,mpnet,mean,soft_cosine,knn_mst70,kmeans50,1.0,19.0,0.009,1.8608244882364358
225,medium1k,mpnet,mean,soft_cosine,knn_mst70,kmeans50,2.0,49.0,0.024,1.8608244882364358
226,medium1k,mpnet,mean,soft_cosine,knn_mst70,kmeans50,3.0,1977.0,0.964,1.8608244882364358
227,medium1k,mpnet,mean,soft_cosine,knn_mst70,kmeans70,1.0,3.0,0.001,1.9181231219827393
228,medium1k,mpnet,mean,soft_cosine,knn_mst70,kmeans70,2.0,69.0,0.033,1.9181231219827393
229,medium1k,mpnet,mean,soft_cosine,knn_mst70,kmeans70,3.0,1995.0,0.963,1.9181231219827393
230,medium1k,mpnet,mean,soft_cosine,knn_mst70,gmm50,1.0,47.0,0.023,1.8529159734523837
231,medium1k,mpnet,mean,soft_cosine,knn_mst70,gmm50,2.0,49.0,0.024,1.8529159734523837
232,medium1k,mpnet,mean,soft_cosine,knn_mst70,gmm50,3.0,1950.0,0.951,1.8529159734523837
233,medium1k,mpnet,mean,soft_cosine,knn_mst70,gmm70,1.0,3.0,0.001,1.8332244375374465
234,medium1k,mpnet,mean,soft_cosine,knn_mst70,gmm70,2.0,69.0,0.033,1.8332244375374465
235,medium1k,mpnet,mean,soft_cosine,knn_mst70,gmm70,3.0,1995.0,0.963,1.8332244375374465
236,medium1k,mpnet,mean,soft_cosine,threshold0.5,kmeans50,1.0,217.0,0.106,1.9471895997894222
237,medium1k,mpnet,mean,soft_cosine,threshold0.5,kmeans50,2.0,49.0,0.024,1.9471895997894222
238,medium1k,mpnet,mean,soft_cosine,threshold0.5,kmeans50,3.0,1735.0,0.846,1.9471895997894222
239,medium1k,mpnet,mean,soft_cosine,threshold0.5,kmeans70,1.0,408.0,0.197,1.9811837090619246
240,medium1k,mpnet,mean,soft_cosine,threshold0.5,kmeans70,2.0,56.0,0.027,1.9811837090619246
241,medium1k,mpnet,mean,soft_cosine,threshold0.5,kmeans70,3.0,1458.0,0.704,1.9811837090619246
242,medium1k,mpnet,mean,soft_cosine,threshold0.5,gmm50,1.0,47.0,0.023,1.9427556745441896
243,medium1k,mpnet,mean,soft_cosine,threshold0.5,gmm50,2.0,49.0,0.024,1.9427556745441896
244,medium1k,mpnet,mean,soft_cosine,threshold0.5,gmm50,3.0,1950.0,0.951,1.9427556745441896
245,medium1k,mpnet,mean,soft_cosine,threshold0.5,gmm70,1.0,282.0,0.136,2.0163196113705637
246,medium1k,mpnet,mean,soft_cosine,threshold0.5,gmm70,2.0,63.0,0.03,2.0163196113705637
247,medium1k,mpnet,mean,soft_cosine,threshold0.5,gmm70,3.0,1653.0,0.798,2.0163196113705637
248,medium1k,mpnet,mean,soft_cosine,threshold0.7,kmeans50,1.0,603.0,0.294,2.409643849700081
249,medium1k,mpnet,mean,soft_cosine,threshold0.7,kmeans50,2.0,614.0,0.299,2.409643849700081
250,medium1k,mpnet,mean,soft_cosine,threshold0.7,kmeans50,3.0,531.0,0.259,2.409643849700081
251,medium1k,mpnet,mean,soft_cosine,threshold0.7,kmeans70,1.0,771.0,0.372,2.4155292278416804
252,medium1k,mpnet,mean,soft_cosine,threshold0.7,kmeans70,2.0,560.0,0.27,2.4155292278416804
253,medium1k,mpnet,mean,soft_cosine,threshold0.7,kmeans70,3.0,377.0,0.182,2.4155292278416804
254,medium1k,mpnet,mean,soft_cosine,threshold0.7,gmm50,1.0,329.0,0.16,2.2213428533665267
255,medium1k,mpnet,mean,soft_cosine,threshold0.7,gmm50,2.0,325.0,0.158,2.2213428533665267
256,medium1k,mpnet,mean,soft_cosine,threshold0.7,gmm50,3.0,1299.0,0.633,2.2213428533665267
257,medium1k,mpnet,mean,soft_cosine,threshold0.7,gmm70,1.0,829.0,0.4,2.5345854294009325
258,medium1k,mpnet,mean,soft_cosine,threshold0.7,gmm70,2.0,480.0,0.232,2.5345854294009325
259,medium1k,mpnet,mean,soft_cosine,threshold0.7,gmm70,3.0,461.0,0.223,2.5345854294009325
260,medium1k,mpnet,mean,soft_cosine,threshold0.9,kmeans50,1.0,85.0,0.041,2.791082493101175
261,medium1k,mpnet,mean,soft_cosine,threshold0.9,kmeans50,2.0,54.0,0.026,2.791082493101175
262,medium1k,mpnet,mean,soft_cosine,threshold0.9,kmeans50,3.0,23.0,0.011,2.791082493101175
263,medium1k,mpnet,mean,soft_cosine,threshold0.9,kmeans70,1.0,84.0,0.041,2.82839400138782
264,medium1k,mpnet,mean,soft_cosine,threshold0.9,kmeans70,2.0,32.0,0.015,2.82839400138782
