,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
206,medium1k,nomic,mean,soft_cosine,knn70,gmm50,1.0,6.0,0.003,2.299648297600227
207,medium1k,nomic,mean,soft_cosine,knn70,gmm50,2.0,49.0,0.024,2.299648297600227
208,medium1k,nomic,mean,soft_cosine,knn70,gmm50,3.0,1991.0,0.971,2.299648297600227
209,medium1k,nomic,mean,soft_cosine,knn70,gmm70,1.0,1.0,0.0,2.4618354773156033
210,medium1k,nomic,mean,soft_cosine,knn70,gmm70,2.0,69.0,0.033,2.4618354773156033
211,medium1k,nomic,mean,soft_cosine,knn70,gmm70,3.0,1999.0,0.965,2.4618354773156033
212,medium1k,nomic,mean,soft_cosine,knn_mst50,kmeans50,1.0,3.0,0.001,2.451084533013588
213,medium1k,nomic,mean,soft_cosine,knn_mst50,kmeans50,2.0,49.0,0.024,2.451084533013588
214,medium1k,nomic,mean,soft_cosine,knn_mst50,kmeans50,3.0,1997.0,0.974,2.451084533013588
215,medium1k,nomic,mean,soft_cosine,knn_mst50,kmeans70,1.0,320.0,0.155,2.420685578224271
216,medium1k,nomic,mean,soft_cosine,knn_mst50,kmeans70,2.0,52.0,0.025,2.420685578224271
217,medium1k,nomic,mean,soft_cosine,knn_mst50,kmeans70,3.0,1641.0,0.792,2.420685578224271
218,medium1k,nomic,mean,soft_cosine,knn_mst50,gmm50,1.0,6.0,0.003,2.385781011609144
219,medium1k,nomic,mean,soft_cosine,knn_mst50,gmm50,2.0,49.0,0.024,2.385781011609144
220,medium1k,nomic,mean,soft_cosine,knn_mst50,gmm50,3.0,1991.0,0.971,2.385781011609144
221,medium1k,nomic,mean,soft_cosine,knn_mst50,gmm70,1.0,422.0,0.204,2.602628487909856
222,medium1k,nomic,mean,soft_cosine,knn_mst50,gmm70,2.0,50.0,0.024,2.602628487909856
223,medium1k,nomic,mean,soft_cosine,knn_mst50,gmm70,3.0,1491.0,0.72,2.602628487909856
224,medium1k,nomic,mean,soft_cosine,knn_mst70,kmeans50,1.0,3.0,0.001,2.368560038286925
225,medium1k,nomic,mean,soft_cosine,knn_mst70,kmeans50,2.0,49.0,0.024,2.368560038286925
226,medium1k,nomic,mean,soft_cosine,knn_mst70,kmeans50,3.0,1997.0,0.974,2.368560038286925
227,medium1k,nomic,mean,soft_cosine,knn_mst70,kmeans70,1.0,2.0,0.001,2.439409794906775
228,medium1k,nomic,mean,soft_cosine,knn_mst70,kmeans70,2.0,69.0,0.033,2.439409794906775
229,medium1k,nomic,mean,soft_cosine,knn_mst70,kmeans70,3.0,1998.0,0.965,2.439409794906775
230,medium1k,nomic,mean,soft_cosine,knn_mst70,gmm50,1.0,6.0,0.003,2.451484720661955
231,medium1k,nomic,mean,soft_cosine,knn_mst70,gmm50,2.0,49.0,0.024,2.451484720661955
232,medium1k,nomic,mean,soft_cosine,knn_mst70,gmm50,3.0,1991.0,0.971,2.451484720661955
233,medium1k,nomic,mean,soft_cosine,knn_mst70,gmm70,1.0,1.0,0.0,2.482700880562387
